Jogador;Time;#;Nação;Pos.;Idade
Agustín Marchesín;Grêmio;1;ARG;GK;36
Yuri Alberto;Corinthians;9;BRA;FW;23
Wesley;Corinthians;36;BRA;LW;19
Ángel Romero;Corinthians;11;PAR;RW;31
Pedro Raul;Corinthians;20;BRA;RW;27
Rodrigo Garro;Corinthians;10;ARG;AM;26
Igor Coronado;Corinthians;77;BRA;AM;31
Fausto Vera;Corinthians;5;ARG;DM;24
Maycon;Corinthians;7;BRA;DM;26
Raniele;Corinthians;14;BRA;DM,CB;27
Hugo;Corinthians;46;BRA;LB;26
Gustavo Henrique;Corinthians;13;BRA;CB;31
Paulinho;Corinthians;8;BRA;DM;35
Félix Torres Caicedo;Corinthians;3;ECU;CB;27
Fagner;Corinthians;23;BRA;RB;34
Matheuzinho;Corinthians;2;BRA;RB;23
Cássio;Corinthians;12;BRA;GK;36
Gustavo Scarpa;Atlético Mineiro;6;BRA;AM;30
Hulk;Atlético Mineiro;7;BRA;FW;37
Eduardo Vargas;Atlético Mineiro;11;CHI;FW;34
Igor Gomes;Atlético Mineiro;17;BRA;AM;25
Igor Rabello;Atlético Mineiro;16;BRA;CB;28
Federico Zaracho;Atlético Mineiro;15;ARG;CM;26
Alan Franco;Atlético Mineiro;23;ECU;CM;25
Otávio;Atlético Mineiro;5;BRA;CM;29
Guilherme Arana;Atlético Mineiro;13;BRA;WB;27
Renzo Saravia;Atlético Mineiro;26;ARG;WB;30
Jemerson;Atlético Mineiro;34;BRA;CB;31
Rodrigo Battaglia;Atlético Mineiro;21;ARG;CB;32
Mauricio Lemos;Atlético Mineiro;4;URU;CB;28
Éverson;Atlético Mineiro;22;BRA;GK;33
Luiz Fernando;Atlético Goianiense;11;BRA;FW;27
Emiliano Rodríguez;Atlético Goianiense;9;URU;FW;20
Derek;Atlético Goianiense;19;BRA;FW;26
Alejo Cruz;Atlético Goianiense;7;URU;LM;23
Luiz Felipe;Atlético Goianiense;13;BRA;LM;30
Gabriel Baralhas;Atlético Goianiense;5;BRA;CM;25
Shaylon;Atlético Goianiense;10;BRA;RM;26
Rhaldney;Atlético Goianiense;8;BRA;DM;25
Yony González;Atlético Goianiense;21;COL;DM;29
Guilherme Romão;Atlético Goianiense;6;BRA;LB;26
Alix Vinicius;Atlético Goianiense;4;BRA;CB;24
Adriano Martins;Atlético Goianiense;3;BRA;CB;27
Pedrão;Atlético Goianiense;14;BRA;CB;31
Maguinho;Atlético Goianiense;2;BRA;RB;31
Ronaldo;Atlético Goianiense;1;BRA;GK;27
Pedro;Flamengo;9;BRA;FW;26
Everton Soares;Flamengo;11;BRA;LW;28
Bruno Henrique;Flamengo;27;BRA;LW;33
Luiz Araújo;Flamengo;7;BRA;RW;27
Victor Hugo;Flamengo;29;BRA;RW;19
Giorgian De Arrascaeta;Flamengo;14;URU;AM;29
Nicolás De La Cruz;Flamengo;18;URU;DM;26
Lorran;Flamengo;19;BRA;DM;17
Erick Pulgar;Flamengo;5;CHI;DM;30
Matías Viña;Flamengo;17;URU;LB;26
Gerson;Flamengo;8;BRA;LB;26
Léo Pereira;Flamengo;4;BRA;CB;28
Carlinhos;Flamengo;22;BRA;CB;27
Fabrício Bruno;Flamengo;15;BRA;CB;28
Ayrton Lucas;Flamengo;6;BRA;RB;26
Agustín Rossi;Flamengo;1;ARG;GK;28
Matheus Pereira;Cruzeiro;10;POR;FW;27
Gabriel Veron;Cruzeiro;30;BRA;FW;21
Arthur;Cruzeiro;11;BRA;LW;25
Álvaro Barreal;Cruzeiro;21;ARG;LW;23
Rafael Silva;Cruzeiro;8;BRA;RW;32
Rafael Elias;Cruzeiro;19;BRA;RW;25
Lucas Silva;Cruzeiro;16;BRA;LM;31
Mateus Vital;Cruzeiro;7;BRA;LM;26
Lucas Romero;Cruzeiro;29;ARG;CM;29
João Marcelo;Cruzeiro;43;BRA;CM;23
Ramiro Benetti;Cruzeiro;17;BRA;RM;30
José Cifuentes;Cruzeiro;18;ECU;RM;25
Marlon;Cruzeiro;3;BRA;LB;26
Zé Ivaldo;Cruzeiro;5;BRA;CB;27
Neris;Cruzeiro;27;BRA;CB;31
William;Cruzeiro;12;BRA;RB;29
Anderson;Cruzeiro;98;BRA;GK;26
Júnior Santos;Botafogo (RJ);11;BRA;FW;29
Tiquinho Soares;Botafogo (RJ);9;BRA;FW;33
Óscar Romero;Botafogo (RJ);70;PAR;FW;31
Jeffinho;Botafogo (RJ);47;BRA;LM;24
Jefferson Savarino;Botafogo (RJ);10;VEN;RM,LM;27
Marlon Freitas;Botafogo (RJ);17;BRA;CM;29
Tchê Tchê;Botafogo (RJ);6;BRA;CM;31
Gregore;Botafogo (RJ);26;BRA;CM;30
Danilo Barbosa;Botafogo (RJ);5;BRA;CB,CM;28
Luiz Henrique;Botafogo (RJ);7;BRA;RM,LM;23
Fernando Marçal;Botafogo (RJ);21;BRA;LB;35
Bastos;Botafogo (RJ);15;ANG;CB;33
Alexander Barboza;Botafogo (RJ);20;ARG;CB;29
Lucas Halter;Botafogo (RJ);3;BRA;CB;23
Mateo Ponte;Botafogo (RJ);4;URU;RB;20
Gatito Fernández;Botafogo (RJ);1;PAR;GK;36
Alerrandro;Vitória;9;BRA;FW;24
Luiz Adriano;Vitória;12;BRA;FW;37
Osvaldo;Vitória;11;BRA;LW;37
Iury de Castilho;Vitória;7;BRA;LW;28
Matheusinho;Vitória;30;BRA;RW;26
Dudu;Vitória;21;BRA;LM;24
Mateus Gonçalves Martins;Vitória;23;BRA;LM;29
Willian;Vitória;29;BRA;CM;30
Rodrigo Andrade;Vitória;32;BRA;RM;26
Jean Mota;Vitória;10;BRA;RM;30
Lucas Esteves;Vitória;16;BRA;LB;23
José Hugo;Vitória;17;BRA;LB;24
Wagner;Vitória;4;BRA;CB;24
Camutanga;Vitória;13;BRA;CB;30
Zeca;Vitória;2;BRA;RB;29
Lucas Arcanjo;Vitória;1;BRA;GK;25
Endrick;Palmeiras;9;BRA;FW;17
Lázaro;Palmeiras;17;BRA;FW;22
Rony;Palmeiras;10;BRA;LW;28
Kaiky Naves;Palmeiras;34;BRA;LW;21
Estevão;Palmeiras;41;BRA;RW;17
Luis Guilherme;Palmeiras;31;BRA;RW;18
Raphael Veiga;Palmeiras;23;BRA;AM;28
Fabinho;Palmeiras;35;BRA;AM;22
Gabriel Menino;Palmeiras;25;BRA;DM;23
Richard Ríos;Palmeiras;27;COL;DM;23
José López;Palmeiras;42;ARG;DM;23
Vanderlan;Palmeiras;6;BRA;LB;21
Murilo Cerqueira;Palmeiras;26;BRA;CB;27
Luan Garcia;Palmeiras;13;BRA;CB;30
Mayke;Palmeiras;12;BRA;RB;31
Wéverton;Palmeiras;21;BRA;GK;36
Germán Cano;Fluminense;14;ARG;FW,AM;36
Kauã Elias;Fluminense;19;BRA;AM;18
Jhon Arias;Fluminense;21;COL;LW;26
Marquinhos;Fluminense;77;BRA;RW,RB;21
Ganso;Fluminense;10;BRA;AM,DM;34
Felipe Vieira;Fluminense;13;;CB;
Lima;Fluminense;45;BRA;DM;27
André;Fluminense;7;BRA;DM,CB;22
Marcelo;Fluminense;12;BRA;LB;35
Martinelli;Fluminense;8;BRA;CB;22
Felipe Melo;Fluminense;30;BRA;CB;40
John Kennedy;Fluminense;9;BRA;FW;21
Samuel Xavier;Fluminense;2;BRA;RB;33
Douglas Costa;Fluminense;90;BRA;RW;33
Fábio;Fluminense;1;BRA;GK;43
Henry Mosquera;Red Bull Bragantino;30;COL;RM,FW;22
Eduardo Sasha;Red Bull Bragantino;19;BRA;FW,LW;32
Ignacio Laquintana;Red Bull Bragantino;33;URU;RW;25
Vitinho;Red Bull Bragantino;28;BRA;LM;25
Gustavinho;Red Bull Bragantino;22;BRA;LM;19
Thiago Borbas;Red Bull Bragantino;18;URU;FW;22
Raul;Red Bull Bragantino;23;BRA;CM;27
Eric Ramires;Red Bull Bragantino;7;BRA;CM;23
Jadsom;Red Bull Bragantino;5;BRA;CM,RM;22
Juninho Capixaba;Red Bull Bragantino;29;BRA;LB;26
Guilherme;Red Bull Bragantino;31;BRA;LB;22
Luan Cândido;Red Bull Bragantino;36;BRA;CB;23
Douglas Mendes;Red Bull Bragantino;39;BRA;CB;19
José Hurtado;Red Bull Bragantino;34;ECU;RB;22
Cleiton Schwengber;Red Bull Bragantino;1;BRA;GK;26
Lucão;Red Bull Bragantino;40;BRA;GK;23
Jonathan Calleri;São Paulo;9;ARG;FW;30
Luciano;São Paulo;10;BRA;FW;30
André Silva;São Paulo;17;BRA;FW;26
Giuliano Galoppo;São Paulo;8;ARG;AM;24
James Rodríguez;São Paulo;55;COL;AM;32
Pablo Maia;São Paulo;29;BRA;CM;22
Rodrigo Nestor;São Paulo;11;BRA;CM;23
Michel Araujo;São Paulo;15;URU;WB;27
William Gomes;São Paulo;39;BRA;WB;18
Igor Vinícius de Souza;São Paulo;2;BRA;WB;27
Diego;São Paulo;4;BRA;CB;24
Robert Arboleda;São Paulo;5;ECU;CB;32
Nahuel Ferraresi;São Paulo;32;VEN;CB;25
Rafael Pires;São Paulo;23;BRA;GK;34
Juan Martín Lucero;Fortaleza;9;ARG;FW;32
Guilherme Tinga;Fortaleza;2;BRA;FW;30
Marinho;Fortaleza;11;BRA;FW;33
Moises;Fortaleza;21;BRA;FW;27
Hércules;Fortaleza;35;BRA;CM;23
Pedro Borges;Fortaleza;28;BRA;CM;27
José Welison;Fortaleza;17;BRA;CM;29
Lucas Sasha;Fortaleza;88;BRA;CM;34
Tomas Pochettino;Fortaleza;7;ARG;CM;28
Bruno Pacheco;Fortaleza;6;BRA;WB;32
Yago Pikachu;Fortaleza;22;BRA;WB;31
Imanol Machuca;Fortaleza;39;ARG;WB;24
Titi;Fortaleza;4;BRA;CB;36
Benjamín Kuscevic;Fortaleza;13;CHI;CB;27
Emanuel Brítez;Fortaleza;19;ARG;CB;32
João Ricardo Riedi;Fortaleza;1;BRA;GK;35
João Pedro;Grêmio;11;ITA;FW;32
Everton;Grêmio;13;BRA;FW;27
Dodi;Grêmio;17;BRA;CM;28
Nata;Grêmio;36;BRA;CM;22
Pedro Geromel;Grêmio;3;BRA;CB;38
Fábio;Grêmio;2;BRA;RB;33
Mádson;Athletico Paranaense;22;BRA;RB;32
Bruninho;Red Bull Bragantino;17;BRA;RM;21
Zé Gabriel;Vasco da Gama;23;BRA;CM;25
Clayton;Vasco da Gama;9;BRA;FW;25
Maicon;Vasco da Gama;4;BRA;CB;35
Werik Popó;Juventude;45;BRA;FW;22
Ruan;Juventude;29;BRA;RM;18
Luis Mandaca;Juventude;44;BRA;FW;22
Danilo Boza;Juventude;4;BRA;CB;25
Gustavo Mosquito;Corinthians;19;BRA;RW,RM;26
Carlos Eduardo;Atlético Mineiro;42;BRA;FW;19
Alisson;Atlético Mineiro;45;BRA;RW;18
Rubens;Atlético Mineiro;44;BRA;LB;22
Eliédson;Criciúma;15;BRA;AM;21
Mateo Barcia;Criciúma;30;URU;RM;23
Wilker Ángel;Criciúma;4;VEN;CB;31
Romulo;Palmeiras;20;BRA;AM;22
Aníbal Moreno;Palmeiras;5;ARG;CM;24
Marcos Rocha;Palmeiras;2;BRA;WB;35
Joaquín Piquerez;Palmeiras;22;URU;CB;25
Gustavo Gómez;Palmeiras;15;PAR;CB;30
Robert Renan;Internacional;4;BRA;CB,RW;20
Renato Kayser;Fortaleza;79;BRA;FW;28
Robert;Cruzeiro;80;BRA;CB;19
Ademir Santos;Bahia;7;BRA;LW;29
Cicinho;Bahia;40;BUL;AM;35
Gabriel;Bahia;3;BRA;CB;22
Isaac;Fluminense;32;BRA;LB;19
Diogo Barbosa;Fluminense;6;BRA;LB;31
Alexsander;Fluminense;5;BRA;DM;20
Manoel;Fluminense;26;BRA;CB;34
Allan;Flamengo;21;BRA;DM;27
Igor;Flamengo;48;BRA;DM;21
Guillermo Varela;Flamengo;2;URU;RB;31
Juan Santos;São Paulo;31;BRA;CM;22
Welington;São Paulo;6;BRA;LB,WB;23
Ferreira;São Paulo;47;BRA;LM;26
Matheus Nascimento;Botafogo (RJ);90;BRA;FW;20
Patrick de Paula;Botafogo (RJ);8;BRA;AM;24
Hugo;Botafogo (RJ);16;BRA;LB;22
Derek;Atlético Goianiense;18;BRA;FW;26
Max;Atlético Goianiense;21;BRA;FW;21
Vágner Love;Atlético Goianiense;20;BRA;LM;39
Gabriel Baralhas;Atlético Goianiense;8;BRA;CM;25
Rhaldney;Atlético Goianiense;5;BRA;CM;25
Yony González;Atlético Goianiense;19;COL;CM;29
Pedrão;Atlético Goianiense;4;BRA;CB;31
